연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.06910604238510132
4,01-03 01:00,공주,0.07324020564556122
4,01-03 02:00,공주,0.07687341421842575
4,01-03 03:00,공주,0.08055900782346725
4,01-03 04:00,공주,0.0839059129357338
4,01-03 05:00,공주,0.08700710535049438
4,01-03 06:00,공주,0.08990515768527985
4,01-03 07:00,공주,0.09228000789880753
4,01-03 08:00,공주,0.09367842972278595
4,01-03 09:00,공주,0.0942901223897934
4,01-03 10:00,공주,0.09362320601940155
4,01-03 11:00,공주,0.09198282659053802
4,01-03 12:00,공주,0.09009146690368652
4,01-03 13:00,공주,0.0883985385298729
4,01-03 14:00,공주,0.08758116513490677
4,01-03 15:00,공주,0.08792345225811005
4,01-03 16:00,공주,0.08932700008153915
4,01-03 17:00,공주,0.0919748917222023
4,01-03 18:00,공주,0.09548230469226837
4,01-03 19:00,공주,0.09962080419063568
4,01-03 20:00,공주,0.10416553914546967
4,01-03 21:00,공주,0.10839579999446869
4,01-03 22:00,공주,0.11225864291191101
4,01-03 23:00,공주,0.11562827229499817
4,01-04 00:00,공주,0.11885091662406921
4,01-04 01:00,공주,0.12224553525447845
4,01-04 02:00,공주,0.1251237392425537
4,01-04 03:00,공주,0.1277536153793335
4,01-04 04:00,공주,0.13036279380321503
4,01-04 05:00,공주,0.13254591822624207
4,01-04 06:00,공주,0.13408668339252472
4,01-04 07:00,공주,0.13488514721393585
4,01-04 08:00,공주,0.13407644629478455
4,01-04 09:00,공주,0.132773295044899
4,01-04 10:00,공주,0.13042917847633362
4,01-04 11:00,공주,0.1274999976158142
4,01-04 12:00,공주,0.12457145750522614
4,01-04 13:00,공주,0.12205289304256439
4,01-04 14:00,공주,0.11999930441379547
4,01-04 15:00,공주,0.11939497292041779
4,01-04 16:00,공주,0.11918195337057114
4,01-04 17:00,공주,0.1206035241484642
4,01-04 18:00,공주,0.12270867079496384
4,01-04 19:00,공주,0.1250261515378952
4,01-04 20:00,공주,0.12772434949874878
4,01-04 21:00,공주,0.13023023307323456
4,01-04 22:00,공주,0.1327010691165924
4,01-04 23:00,공주,0.13476170599460602
4,01-05 00:00,공주,0.13694116473197937
4,01-05 01:00,공주,0.13807716965675354
4,01-05 02:00,공주,0.13914567232131958
4,01-05 03:00,공주,0.1406458020210266
4,01-05 04:00,공주,0.14201074838638306
4,01-05 05:00,공주,0.14258332550525665
4,01-05 06:00,공주,0.14282828569412231
4,01-05 07:00,공주,0.14199334383010864
4,01-05 08:00,공주,0.14034470915794373
4,01-05 09:00,공주,0.13789713382720947
4,01-05 10:00,공주,0.1343279480934143
4,01-05 11:00,공주,0.13065114617347717
4,01-05 12:00,공주,0.12633517384529114
4,01-05 13:00,공주,0.12330330908298492
4,01-05 14:00,공주,0.12092487514019012
4,01-05 15:00,공주,0.11962740123271942
4,01-05 16:00,공주,0.11943012475967407
4,01-05 17:00,공주,0.12001670897006989
4,01-05 18:00,공주,0.12109735608100891
4,01-05 19:00,공주,0.12264862656593323
4,01-05 20:00,공주,0.12466523051261902
4,01-05 21:00,공주,0.12667128443717957
4,01-05 22:00,공주,0.1291629821062088
4,01-05 23:00,공주,0.1304866373538971
4,01-08 00:00,공주,0.08957447856664658
4,01-08 01:00,공주,0.09458914399147034
4,01-08 02:00,공주,0.09914378821849823
4,01-08 03:00,공주,0.10387059301137924
4,01-08 04:00,공주,0.10823819786310196
4,01-08 05:00,공주,0.11256245523691177
4,01-08 06:00,공주,0.11657330393791199
4,01-08 07:00,공주,0.11975187808275223
4,01-08 08:00,공주,0.12177489697933197
4,01-08 09:00,공주,0.12276206910610199
4,01-08 10:00,공주,0.12193483114242554
4,01-08 11:00,공주,0.1199512630701065
4,01-08 12:00,공주,0.11761502921581268
4,01-08 13:00,공주,0.11584898084402084
4,01-08 14:00,공주,0.11503458023071289
4,01-08 15:00,공주,0.11554443091154099
4,01-08 16:00,공주,0.1173863485455513
4,01-08 17:00,공주,0.12038169801235199
4,01-08 18:00,공주,0.12411264330148697
4,01-08 19:00,공주,0.12844990193843842
4,01-08 20:00,공주,0.1323952078819275
4,01-08 21:00,공주,0.13581597805023193
4,01-08 22:00,공주,0.1385893076658249
4,01-08 23:00,공주,0.1410059779882431
4,01-09 00:00,공주,0.14291730523109436
4,01-09 01:00,공주,0.14502683281898499
4,01-09 02:00,공주,0.14647480845451355
4,01-09 03:00,공주,0.14804813265800476
4,01-09 04:00,공주,0.14998236298561096
4,01-09 05:00,공주,0.15109071135520935
4,01-09 06:00,공주,0.15175950527191162
4,01-09 07:00,공주,0.1516784131526947
4,01-09 08:00,공주,0.14998388290405273
4,01-09 09:00,공주,0.14783751964569092
4,01-09 10:00,공주,0.1446763575077057
4,01-09 11:00,공주,0.1406649947166443
4,01-09 12:00,공주,0.13661816716194153
4,01-09 13:00,공주,0.13312473893165588
4,01-09 14:00,공주,0.13005518913269043
4,01-09 15:00,공주,0.12861400842666626
4,01-09 16:00,공주,0.12785115838050842
4,01-09 17:00,공주,0.12887190282344818
4,01-09 18:00,공주,0.13014943897724152
4,01-09 19:00,공주,0.1312825083732605
4,01-09 20:00,공주,0.13273043930530548
4,01-09 21:00,공주,0.1335776448249817
4,01-09 22:00,공주,0.13440126180648804
4,01-09 23:00,공주,0.13438084721565247
4,01-10 00:00,공주,0.13473062217235565
4,01-10 01:00,공주,0.13436830043792725
4,01-10 02:00,공주,0.13428011536598206
4,01-10 03:00,공주,0.13465279340744019
4,01-10 04:00,공주,0.13501615822315216
4,01-10 05:00,공주,0.13468994200229645
4,01-10 06:00,공주,0.13452985882759094
4,01-10 07:00,공주,0.13336193561553955
4,01-10 08:00,공주,0.13105584681034088
4,01-10 09:00,공주,0.12834401428699493
4,01-10 10:00,공주,0.12409231066703796
4,01-10 11:00,공주,0.1200161725282669
4,01-10 12:00,공주,0.11508184671401978
4,01-10 13:00,공주,0.11171887814998627
4,01-10 14:00,공주,0.1093064621090889
4,01-10 15:00,공주,0.10855916142463684
4,01-10 16:00,공주,0.10844223946332932
4,01-10 17:00,공주,0.10956208407878876
4,01-10 18:00,공주,0.11096251010894775
4,01-10 19:00,공주,0.1126086488366127
4,01-10 20:00,공주,0.11456567049026489
4,01-10 21:00,공주,0.1161264181137085
4,01-10 22:00,공주,0.1182413399219513
4,01-10 23:00,공주,0.11898970603942871
4,01-13 00:00,공주,0.30221253633499146
4,01-13 01:00,공주,0.3001303970813751
4,01-13 02:00,공주,0.2986391484737396
4,01-13 03:00,공주,0.29712772369384766
4,01-13 04:00,공주,0.29545626044273376
4,01-13 05:00,공주,0.2930132746696472
4,01-13 06:00,공주,0.2911212742328644
4,01-13 07:00,공주,0.2875155806541443
4,01-13 08:00,공주,0.28308719396591187
4,01-13 09:00,공주,0.27669936418533325
4,01-13 10:00,공주,0.2688365876674652
4,01-13 11:00,공주,0.26073646545410156
4,01-13 12:00,공주,0.25221338868141174
4,01-13 13:00,공주,0.24470219016075134
4,01-13 14:00,공주,0.23866704106330872
4,01-13 15:00,공주,0.23388443887233734
4,01-13 16:00,공주,0.23056980967521667
4,01-13 17:00,공주,0.2286655306816101
4,01-13 18:00,공주,0.22723466157913208
4,01-13 19:00,공주,0.22578752040863037
4,01-13 20:00,공주,0.22438862919807434
4,01-13 21:00,공주,0.22237074375152588
4,01-13 22:00,공주,0.219259575009346
4,01-13 23:00,공주,0.2153613269329071
4,01-14 00:00,공주,0.21036185324192047
4,01-14 01:00,공주,0.2057497799396515
4,01-14 02:00,공주,0.20202326774597168
4,01-14 03:00,공주,0.19778867065906525
4,01-14 04:00,공주,0.19497361779212952
4,01-14 05:00,공주,0.1911744773387909
4,01-14 06:00,공주,0.1871669590473175
4,01-14 07:00,공주,0.18281398713588715
4,01-14 08:00,공주,0.17670848965644836
4,01-14 09:00,공주,0.1706707775592804
4,01-14 10:00,공주,0.16338303685188293
4,01-14 11:00,공주,0.15571855008602142
4,01-14 12:00,공주,0.14842605590820312
4,01-14 13:00,공주,0.1419571489095688
4,01-14 14:00,공주,0.13632594048976898
4,01-14 15:00,공주,0.131903275847435
4,01-14 16:00,공주,0.12865333259105682
4,01-14 17:00,공주,0.12681595981121063
4,01-14 18:00,공주,0.12568405270576477
4,01-14 19:00,공주,0.12353464961051941
4,01-14 20:00,공주,0.12181176245212555
4,01-14 21:00,공주,0.11871430277824402
4,01-14 22:00,공주,0.11565258353948593
4,01-14 23:00,공주,0.11204129457473755
4,01-15 00:00,공주,0.10881293565034866
4,01-15 01:00,공주,0.10595874488353729
4,01-15 02:00,공주,0.10399127006530762
4,01-15 03:00,공주,0.10259830206632614
4,01-15 04:00,공주,0.10239484906196594
4,01-15 05:00,공주,0.1018487811088562
4,01-15 06:00,공주,0.10113013535737991
4,01-15 07:00,공주,0.0994766429066658
4,01-15 08:00,공주,0.09644415229558945
4,01-15 09:00,공주,0.09296160191297531
4,01-15 10:00,공주,0.08891013264656067
4,01-15 11:00,공주,0.08527150005102158
4,01-15 12:00,공주,0.08045878261327744
4,01-15 13:00,공주,0.07672913372516632
4,01-15 14:00,공주,0.07405019551515579
4,01-15 15:00,공주,0.07358070462942123
4,01-15 16:00,공주,0.07312382757663727
4,01-15 17:00,공주,0.07505737990140915
4,01-15 18:00,공주,0.07653968036174774
4,01-15 19:00,공주,0.0791776180267334
4,01-15 20:00,공주,0.0809662863612175
4,01-15 21:00,공주,0.08191260695457458
4,01-15 22:00,공주,0.08253268152475357
4,01-15 23:00,공주,0.08244972676038742
4,01-18 00:00,공주,0.11562094837427139
4,01-18 01:00,공주,0.11954963207244873
4,01-18 02:00,공주,0.12254199385643005
4,01-18 03:00,공주,0.12509915232658386
4,01-18 04:00,공주,0.12724076211452484
4,01-18 05:00,공주,0.12971684336662292
4,01-18 06:00,공주,0.13247765600681305
4,01-18 07:00,공주,0.134962797164917
4,01-18 08:00,공주,0.13686414062976837
4,01-18 09:00,공주,0.1376933455467224
4,01-18 10:00,공주,0.13640150427818298
4,01-18 11:00,공주,0.13416916131973267
4,01-18 12:00,공주,0.13083799183368683
4,01-18 13:00,공주,0.12793737649917603
4,01-18 14:00,공주,0.12550684809684753
4,01-18 15:00,공주,0.1251818835735321
4,01-18 16:00,공주,0.12610436975955963
4,01-18 17:00,공주,0.1289241462945938
4,01-18 18:00,공주,0.13356198370456696
4,01-18 19:00,공주,0.13935598731040955
4,01-18 20:00,공주,0.14552026987075806
4,01-18 21:00,공주,0.151127427816391
4,01-18 22:00,공주,0.1560567021369934
4,01-18 23:00,공주,0.1600494086742401
4,01-19 00:00,공주,0.16298866271972656
4,01-19 01:00,공주,0.16508449614048004
4,01-19 02:00,공주,0.16593247652053833
4,01-19 03:00,공주,0.16618712246418
4,01-19 04:00,공주,0.1668461561203003
4,01-19 05:00,공주,0.16702276468276978
4,01-19 06:00,공주,0.16696172952651978
4,01-19 07:00,공주,0.16685885190963745
4,01-19 08:00,공주,0.16523241996765137
4,01-19 09:00,공주,0.16352197527885437
4,01-19 10:00,공주,0.16019046306610107
4,01-19 11:00,공주,0.15607014298439026
4,01-19 12:00,공주,0.1511157751083374
4,01-19 13:00,공주,0.14693689346313477
4,01-19 14:00,공주,0.14272208511829376
4,01-19 15:00,공주,0.14066562056541443
4,01-19 16:00,공주,0.13961277902126312
4,01-19 17:00,공주,0.14103548228740692
4,01-19 18:00,공주,0.14311841130256653
4,01-19 19:00,공주,0.14599023759365082
4,01-19 20:00,공주,0.1493668258190155
4,01-19 21:00,공주,0.15247313678264618
4,01-19 22:00,공주,0.15487061440944672
4,01-19 23:00,공주,0.15642857551574707
4,01-20 00:00,공주,0.15723252296447754
4,01-20 01:00,공주,0.15690690279006958
4,01-20 02:00,공주,0.15589389204978943
4,01-20 03:00,공주,0.15481698513031006
4,01-20 04:00,공주,0.15407836437225342
4,01-20 05:00,공주,0.15298785269260406
4,01-20 06:00,공주,0.1519203633069992
4,01-20 07:00,공주,0.14999312162399292
4,01-20 08:00,공주,0.14769843220710754
4,01-20 09:00,공주,0.14476867020130157
4,01-20 10:00,공주,0.14047139883041382
